"timestamp","lum","umidar","tempar","umidsolz1raw","umidsolz1","umidsolz2raw","umidsolz2","tempsol"
2020-02-14 00:30:00,0,99.9,19.2,18760.3541666667,31.5464409722222,17410.8125,34.4225694444444,20.6
2020-02-14 01:00:00,0,99.9,19.1,18759.4166666667,31.5415798611111,17406.5208333333,34.4261284722222,20.4
2020-02-14 01:30:00,0,99.9,17.9,18758.6041666667,31.5371527777778,17402.1458333333,34.4301215277778,20.2
2020-02-14 02:00:00,0,99.9,17.8,18756.5625,31.5330295138889,17396.9166666667,34.4344618055556,19.8
2020-02-14 02:30:00,0,99.9,18,18755.0416666667,31.5292534722222,17391.1458333333,34.4392361111111,19.6
2020-02-14 03:00:00,0,99.9,17,18754.4375,31.5258246527778,17384.25,34.4444010416667,19.4
2020-02-14 03:30:00,0,99.9,17.2,18754.25,31.5229166666667,17377.2083333333,34.4499565972222,19.2
2020-02-14 04:00:00,0,99.9,17.3,18753.1458333333,31.5203559027778,17369.0208333333,34.455859375,19
2020-02-14 04:30:00,0,99.9,16.9,18752.8958333333,31.5180989583333,17361.8125,34.4620225694444,18.6
2020-02-14 05:00:00,0,99.9,17,18751.1041666667,31.5161458333333,17353.9375,34.4684895833333,18.6
2020-02-14 05:30:00,1,99.9,16.7,18749.125,31.5145399305556,17346.7708333333,34.4752604166667,18.4
2020-02-14 06:00:00,348,99.9,16.6,18746.5625,31.51328125,17339.2916666667,34.4822916666667,18.2
2020-02-14 06:30:00,1422,99.9,16.7,18744.2083333333,31.5122829861111,17332.3333333333,34.4895833333333,18
2020-02-14 07:00:00,2276,99.9,17.9,18741.8125,31.5115885416667,17325.375,34.4971354166667,17.8
2020-02-14 07:30:00,2888,99.9,19.2,18739.2291666667,31.5110677083333,17318.5,34.5049045138889,17.7
2020-02-14 08:00:00,3343,99.9,20.3,18737.875,31.5108072916667,17311.8125,34.5130208333333,17.8
2020-02-14 08:30:00,3870,99.9,21.5,18736.9375,31.5110243055556,17305.9375,34.5217447916667,18.1
2020-02-14 09:00:00,4906,99.9,28.1,18735.5,31.5120225694444,17299.9791666667,34.5314670138889,18.4
2020-02-14 09:30:00,16926,99.9,33.2,18737.2708333333,31.5128038194444,17297.1666666667,34.5411892361111,18.8
2020-02-14 10:00:00,54612,99.6,33.9,18735.2708333333,31.5134114583333,17291.0833333333,34.5509114583333,19.8
2020-02-14 10:30:00,54612,98.8,33,18734.7083333333,31.513671875,17286.0833333333,34.5604600694444,20.6
2020-02-14 11:00:00,54612,97,34.9,18734.6458333333,31.513671875,17281.9583333333,34.5697916666667,21.7
2020-02-14 11:30:00,10649,95.1,34.7,18734.7916666667,31.5133680555556,17278.1875,34.57890625,22.8
2020-02-14 12:00:00,11115,99.9,28.3,18734.7708333333,31.5126302083333,17274.1041666667,34.5877604166667,23.8
2020-02-14 12:30:00,13046,99.9,28.3,18731.4166666667,31.5116319444444,17267.0208333333,34.596484375,24.4
2020-02-14 13:00:00,17544,99.9,29.6,18731.9375,31.5103732638889,17263.3541666667,34.6050347222222,24.9
2020-02-14 13:30:00,20742,99.9,29.6,18731.4375,31.5089409722222,17259.3541666667,34.6133680555556,25.4
2020-02-14 14:00:00,18116,99.9,31.7,18733.2916666667,31.5071614583333,17257.1875,34.6214409722222,26.1
2020-02-14 14:30:00,11657,99.9,29.2,18734.1041666667,31.5051649305556,17253.8541666667,34.6292534722222,26.6
2020-02-14 15:00:00,8927,99.9,25.9,18736,31.5029947916667,17251.5833333333,34.6366753472222,26.8
2020-02-14 15:30:00,4364,99.9,23.7,18736.6458333333,31.5006076388889,17248.3333333333,34.6436197916667,26.6
2020-02-14 16:00:00,3013,99.9,22.9,18738.1875,31.4978732638889,17245.4583333333,34.6498697916667,26.2
2020-02-14 16:30:00,1652,99.9,22.1,18740.1875,31.4947916666667,17243.3125,34.6555121527778,25.7
2020-02-14 17:00:00,1391,99.9,21.7,18741.5833333333,31.4912326388889,17240.3958333333,34.6604166666667,25.2
2020-02-14 17:30:00,913,99.9,21.5,18742.0416666667,31.4879774305556,17237.0833333333,34.6654513888889,24.5
2020-02-14 18:00:00,642,99.9,21.5,18743.3125,31.4849392361111,17234.6666666667,34.6705729166667,24.1
2020-02-14 18:30:00,152,99.9,21.4,18745.1458333333,31.4820746527778,17233.0416666667,34.6757378472222,23.6
2020-02-14 19:00:00,3,99.9,21.4,18746.8125,31.4793836805556,17231.0833333333,34.6809027777778,23.2
2020-02-14 19:30:00,0,99.9,21.7,18749.4583333333,31.4770399305556,17230.5,34.686328125,22.9
2020-02-14 20:00:00,1,99.9,21.2,18751.9375,31.4748263888889,17228.25,34.691796875,22.5
2020-02-14 20:30:00,0,99.9,21.1,18752.5208333333,31.4727864583333,17223.9166666667,34.6973524305556,22.4
2020-02-14 21:00:00,0,99.9,20.9,18745.4791666667,31.4709635416667,17211.7083333333,34.7029947916667,22.1
2020-02-14 21:30:00,1,99.9,20.8,18750.1875,31.4694878472222,17210.6458333333,34.7088541666667,21.9
2020-02-14 22:00:00,0,99.9,20.7,18755.2291666667,31.4682725694444,17211.0833333333,34.7148003472222,21.8
2020-02-14 22:30:00,0,99.9,21,18759.8958333333,31.4674479166667,17211.2291666667,34.7209201388889,21.6
2020-02-14 23:00:00,0,99.9,19.8,18764.8541666667,31.4670572916667,17211.9583333333,34.7272569444444,21.4
2020-02-14 23:30:00,0,99.9,20.1,18770.3541666667,31.4671006944444,17213.3333333333,34.7339409722222,21.1
